2026-06-04 14:47:15.132 [info] Extension host with pid 34885 started
2026-06-04 14:47:15.132 [info] Skipping acquiring lock for /home/sharanya/.config/Code/User/workspaceStorage/2461ce90680e5333ac548168a29e6ecd.
2026-06-04 14:47:15.731 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-06-04 14:47:15.775 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-06-04 14:47:15.801 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onChatParticipant:github.copilot.editsAgent'
2026-06-04 14:47:17.582 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-04 14:47:17.590 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-04 14:47:17.677 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-06-04 14:47:17.961 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2026-06-04 14:47:17.989 [info] ExtensionService#_doActivateExtension vscode.terminal-suggest, startup: false, activationEvent: 'onTerminalShellIntegration:*'
2026-06-04 14:47:18.231 [info] ExtensionService#_doActivateExtension ms-vscode.cmake-tools, startup: true, activationEvent: 'workspaceContains:CMakeLists.txt'
2026-06-04 14:47:18.379 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2026-06-04 14:47:18.449 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2026-06-04 14:47:18.502 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-06-04 14:47:20.277 [info] Eager extensions activated
2026-06-04 14:47:20.289 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-06-04 14:47:20.291 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-06-04 14:53:06.019 [info] ExtensionService#_doActivateExtension vscode.debug-server-ready, startup: false, activationEvent: 'onDebugResolve'
2026-06-04 14:53:06.020 [info] ExtensionService#_doActivateExtension ms-vscode.js-debug, startup: false, activationEvent: 'onDebugResolve:extensionHost'
2026-06-04 14:53:06.116 [info] ExtensionService#_doActivateExtension vscode.grunt, startup: false, activationEvent: 'onTaskType:grunt'
2026-06-04 14:53:06.117 [info] ExtensionService#_doActivateExtension vscode.gulp, startup: false, activationEvent: 'onTaskType:gulp'
2026-06-04 14:53:06.119 [info] ExtensionService#_doActivateExtension vscode.jake, startup: false, activationEvent: 'onTaskType:jake'
2026-06-04 14:53:06.120 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTaskType:npm'
2026-06-04 14:53:06.136 [info] ExtensionService#_doActivateExtension ms-vscode.cpptools, startup: false, activationEvent: 'onTaskType:cppbuild'
2026-06-04 14:54:16.333 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2026-06-04 14:54:16.486 [info] ExtensionService#_doActivateExtension ms-vscode.cpp-devtools, startup: false, activationEvent: 'onLanguage:c'
2026-06-04 14:54:16.501 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2026-06-04 14:54:16.515 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
